ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
1000,PNR Normandie-Maine,PNR NORMANDIE MAINE,,,,
737,RCO,RCO,,,,
557,Région academique Bourgogne-Franche-Comté,REGION ACADEMIQUE BOURGOGNE FRANCHE COMTE,,,,Region
170,Région Bourgogne-Franche-Comté,REGION BOURGOGNE FRANCHE COMTE,,,,Region
93,REGION BRETAGNE,REGION BRETAGNE,,,,Region
41,Région Bretagne,REGION BRETAGNE,233 500 016,35700,"3,329,000.00",Region
230,Région des Pays de la Loire,REGION DES PAYS DE LA LOIRE,,,,Region
620,Région Grand Est,REGION GRAND EST,,,,Region
829,Région Grand Est,REGION GRAND EST,,,,Region
862,Région Grand EST,REGION GRAND EST,,,,Region
890,Région Grand Est,REGION GRAND EST,,,,Region
903,Région Grand Est,REGION GRAND EST,,,,Region
658,Région GUADELOUPE,REGION GUADELOUPE,,,,Region
